name,artist,album,release,minutes,seconds,link
Dance Tonight,Vanessa K,Dance Karein Saari Raat,2025-08-15,2,59,https://open.spotify.com/track/7BEK9zBo5r3wWVjNfJB0V7
Come On Over Baby (All I Want Is You),Jillian Dawn,Come On Over Baby (All I Want Is You),2023-07-12,3,4,https://open.spotify.com/track/5XercUEpufJyuef00LKNjw
Whatever,Pratyaksh Bharadwaj,Whatever,2023-01-15,2,22,https://open.spotify.com/track/4HXG0rv7Vc0cnwgeJ7413E
The Real Slim Shady,Eminem,The Marshall Mathers LP,2000-05-23,4,44,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
Flowers On The Wall,Elsewhere,Flowers On The Wall,2024-11-04,3,48,https://open.spotify.com/track/2fMrg327OBF1z9iMJYkWWz
BIG DICK RANDY 2,DigBar,BIG DICK RANDY 2,2023-10-24,2,16,https://open.spotify.com/track/3Q3YJGjUX0TPplc1ycHNqA
A Simple Life,Morunas,A Simple Life,2025-04-04,2,12,https://open.spotify.com/track/4ACrO5fdxKQc33NSJff6HQ
Yes!,Steve Levi,Yes!,2023-03-03,6,11,https://open.spotify.com/track/6mYOWNJVigtEnJ9RIVafQd
Could I Have This Kiss Forever,Enrique Iglesias,Enrique,1999-11-23,3,55,https://open.spotify.com/track/01qCxvpyyIm0a0RG3uYxEm
Light in the Dark,Violin Sky,Light in the Dark,2024-02-16,2,4,https://open.spotify.com/track/6sXkEqvSpkLMxsA7Xuw0bk
Swear,Amber,Swear,2025-05-03,2,51,https://open.spotify.com/track/0h9u909AdQDQsWrgNnmkqV
Callin' U (Tamally Maak),Elyanna,WOLEDTO,2024-04-12,1,56,https://open.spotify.com/track/7uH88hqUq0zh1Khx4xXMxq
Take you home,Alsa Berys,Motherland,2025-07-25,1,3,https://open.spotify.com/track/0VTO6W5LzrbCTgMxjIzGsi
I WILL,Maktivity,I WILL,2025-10-08,2,22,https://open.spotify.com/track/1Qvrylils09VXwfkB3xtQ5
I'll Be There,Walk off the Earth,HERE WE GO!,2019-10-25,2,49,https://open.spotify.com/track/3xj7CICKpCDxxMJ5ilRbTY
12 YEARS,Lucky Rathore,12 YEARS,2025-04-18,2,27,https://open.spotify.com/track/0cIA4bUqEKOSxJGudhEUlc
What You Want,Sleap Year,What You Want,2023-12-01,2,24,https://open.spotify.com/track/5EFUY2TbeUYah7R4esc1Y8
Change Your Mind,SAJA,Change Your Mind,2025-09-12,2,28,https://open.spotify.com/track/5QwOJDJtOvxIJEr0oyAW1e
It's My Life - Radio edit,Fernando Opera,It's My Life,2025-05-29,2,5,https://open.spotify.com/track/2veq1Yn9DY1ymXGh95Q1XY
No Matter What,Relaxance,Deep Sleep,2025-09-05,1,8,https://open.spotify.com/track/3gXPo6vtG65XytdaxHzSSr
Don't Think,Frances The Mute,Don't Think,2025-04-11,2,10,https://open.spotify.com/track/4lSegvIokCne15Ms94FhFj
you're everything,dj poolboi,you're everything,2025-05-30,3,46,https://open.spotify.com/track/2MoEiOlkEAWsYYPhPnpP3T
always love me,TUYUL AMBEUKAN,always love me,2025-03-28,1,13,https://open.spotify.com/track/34BjlqhrkfmsJyC1sfvSYn
Last Resort,Papa Roach,Infest,2000-04-25,3,19,https://open.spotify.com/track/5W8YXBz9MTIDyrpYaCg2Ky
Cold Day in July,Larissa Kosinski,Cold Day in July,2020-04-10,3,38,https://open.spotify.com/track/3gNyCCuHEQ5VATCVu1y3fd
I Want Your Lovin’ - Edit,Whilk & Misky,I Want Your Lovin' (Edit),2016-04-01,3,20,https://open.spotify.com/track/0usm8p309eb1kUDBy26u3t
Californication,Lost Ways,Californication,2024-01-19,2,21,https://open.spotify.com/track/0v2atFhYQYPythajdEi4MF
CRASH N BURN,Alex LeMirage,CRASH N BURN,2024-06-07,3,19,https://open.spotify.com/track/2tVWTdJMhdFo0o3itHOsvr
Broadway,Flip Phillips Quintet,The Clef Years: Classic Albums 1952-56,2023-09-22,2,47,https://open.spotify.com/track/1rYAbCZyblxSzQe4Kq3NpJ
Treat Her Like A Lady - Live,Henry Lee Summer,Live,1999-01-01,5,40,https://open.spotify.com/track/7hptbdImFYi5FFZ4NVWyzE
Who Let The Dogs Out,Baha Men,Who Let The Dogs Out,2000,3,18,https://open.spotify.com/track/1H5tvpoApNDxvxDexoaAUo
Oops!... l Did It Again,Aize,Oops!... l Did It Again,2024-12-13,2,8,https://open.spotify.com/track/7ynMJShBPjh8hKIZcgdmkL
Country Road,Neddy,Country Road,2023-10-01,2,35,https://open.spotify.com/track/2dKBYz4P1esoANv0rZ87bj
"Better Off (Alone, Pt. III)",Alan Walker,Walkerworld,2023-11-10,2,31,https://open.spotify.com/track/0SML6wWerD0yI2Xd4OUC1R
When you need,Iaco,When you need,2025-05-09,2,1,https://open.spotify.com/track/6bDHoD1dmhqjdfmVKPGXmo
